2011-03-31 21:37:17,055 [9] INFO  Ц NHibernate 2.1.2.4000 (2.1.2.4000)
2011-03-31 21:37:21,365 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,365 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,381 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,382 [9] WARN  Ц ёзер baddy_booy сделал 1 прогнозов
2011-03-31 21:37:21,382 [9] WARN  Ц 1. 1:1<br />2. 1:1<br />3. 2:1<br />4. 1:2<br />5. 1:2<br />6. 2:0<br />7. 1:1<br />8. 2:1<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423139653'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,383 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,383 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,384 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,384 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,407 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,407 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,407 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,407 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,420 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,420 [9] WARN  Ц ёзер simplegary сделал 1 прогнозов
2011-03-31 21:37:21,420 [9] WARN  Ц 1. 1:1<br />2. 1:1<br />3. 1:0<br />4. 0:0<br />5. 0:1<br />6. 2:0<br />7. 0:0<br />8. 0:1<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423140421'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,420 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,420 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,434 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,434 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,445 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,445 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,445 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,445 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,450 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,452 [9] WARN  Ц ёзер ereizer сделал 1 прогнозов
2011-03-31 21:37:21,452 [9] WARN  Ц 1. 0:2<br />2. 0:0<br />3. 2:1<br />4. 0:2<br />5. 1:2<br />6. 2:0<br />7. 1:2<br />8. 1:1<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423140677'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,452 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,453 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,472 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,472 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,474 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,474 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,474 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,474 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,484 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,485 [9] WARN  Ц ёзер e_xanax сделал 1 прогнозов
2011-03-31 21:37:21,485 [9] WARN  Ц 1. 0:2<br />2. 1:0<br />3. 1:3<br />4. 1:1<br />5. 1:2<br />6. 1:0<br />7. 0:0<br />8. 1:1 <p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423140933'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,485 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,486 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,500 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,500 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,501 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,501 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,501 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,501 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,511 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,514 [9] WARN  Ц ёзер oktopuspaul сделал 1 прогнозов
2011-03-31 21:37:21,514 [9] WARN  Ц 1. 0:2<br />2. 1:0<br />3. 1:0<br />4. 0:2<br />5. 3:1<br />6. 2:0<br />7. 0:0<br />8. 0:0<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423141189'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,514 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,514 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,517 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,517 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,518 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,518 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,518 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,518 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,545 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,545 [9] WARN  Ц ёзер vladimirart сделал 1 прогнозов
2011-03-31 21:37:21,545 [9] WARN  Ц 1. 1:3<br />2. 2:1<br />3. 2:0<br />4. 0:2<br />5. 1:3<br />6. 2:0<br />7. 1:2<br />8. 1:1<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423141445'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,545 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,545 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,546 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,546 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,546 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,546 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,546 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,546 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,550 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,550 [9] WARN  Ц ёзер arsilnik сделал 1 прогнозов
2011-03-31 21:37:21,550 [9] WARN  Ц 1. 1:0<br />2. 1:0<br />3. 0:0<br />4. 1:1<br />5. 1:1<br />6. 3:1<br />7. 0:1<br />8. 2:0<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423141701'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,550 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,550 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,551 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,551 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,551 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,551 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,551 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,551 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,555 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,556 [9] WARN  Ц ёзер gataguk сделал 1 прогнозов
2011-03-31 21:37:21,556 [9] WARN  Ц 1. 0:1<br />2. 2:1<br />3. 1:0<br />4. 0:1<br />5. 1:1<br />6. 3:0<br />7. 0:1<br />8. 0:0<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423142469'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,556 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,556 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,556 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,556 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,556 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,556 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,557 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,557 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,567 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,568 [9] WARN  Ц ёзер _sun_sunych_ сделал 1 прогнозов
2011-03-31 21:37:21,568 [9] WARN  Ц 1. 2:1<br />2. 3:0<br />3. 2:2<br />4. 2:3<br />5. 0:1<br />6. 1:0<br />7. 1:1<br />8. 0:0<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423142981'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,568 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,568 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,570 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,570 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,570 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,570 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,570 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,570 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,575 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,577 [9] WARN  Ц ёзер ziobr сделал 1 прогнозов
2011-03-31 21:37:21,577 [9] WARN  Ц 1. 1:1<br />2. 2:0<br />3. 2:1<br />4. 0:1<br />5. 1:1<br />6. 1:0<br />7. 0:0<br />8. 1:1<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423143749'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,577 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,577 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,578 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,578 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,578 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,578 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,578 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,578 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,582 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,582 [9] WARN  Ц ёзер john_example сделал 1 прогнозов
2011-03-31 21:37:21,582 [9] WARN  Ц 1. 1:1<br />2. 0:1<br />3. 0:0<br />4. 0:1<br />5. 1:1<br />6. 1:0<br />7. 0:1<br />8. 0:1<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423144005'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,582 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,582 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,583 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,583 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,583 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,583 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,583 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,583 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,593 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,593 [9] WARN  Ц ёзер mozyr сделал 1 прогнозов
2011-03-31 21:37:21,593 [9] WARN  Ц 1. 1:2<br />2. 1:1<br />3. 1:1<br />4. 0:2<br />5. 1:0<br />6. 4:1<br />7. 0:0<br />8. 2:1<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423148357'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,593 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,593 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,593 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,593 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,594 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,594 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,594 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,594 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,597 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,599 [9] WARN  Ц ёзер kstasa сделал 1 прогнозов
2011-03-31 21:37:21,599 [9] WARN  Ц 1. 1:1<br />2. 2:0<br />3. 2:0<br />4. 1:3<br />5. 1:1<br />6. 3:0<br />7. 0:1<br />8. 2:0<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423149893'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,599 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,599 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,601 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,601 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,601 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,601 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,601 [9] INFO  Ц done deleting orphans for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,601 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,605 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,605 [9] WARN  Ц ёзер _kisel_ сделал 1 прогнозов
